Count,Tradelist Count,Name,Edition,Card Number,Condition,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
4,,Looming Shade,Eighth Edition,140,,,,,,,,,0.02
4,,Maggot Carrier,Eighth Edition,142,,,,,,,,,0.05
3,,Master Decoy,Eighth Edition,29,,,,,,,,,0.03
4,,Merchant of Secrets,Eighth Edition,90,,,,,,,,,0.05
4,,Mind Rot,Eighth Edition,144,,,,,,,,,0.01
4,,Monstrous Growth,Eighth Edition,266,,,,,,,,,0.04
4,,Moss Monster,Eighth Edition,267,,,,,,,,,0.04
4,,Nantuko Disciple,Eighth Edition,268,,,,,,,,,0.01
4,,Naturalize,Eighth Edition,270,,,,,,,,,0.03
4,,Nausea,Eighth Edition,148,,,,,,,,,0.05
4,,Norwood Ranger,Eighth Edition,271,,,,,,,,,0.03
1,,Ogre Taskmaster,Eighth Edition,205,,,,,,,,,0.06
3,,Orcish Spy,Eighth Edition,208,,,,,,,,,0.05
4,,Pacifism,Eighth Edition,33,,,,,,,,,0.04
4,,Panic Attack,Eighth Edition,209,,,,,,,,,0.04
1,,Patagia Golem,Eighth Edition,308,,,,,,,,,0.06
2,,Phantom Warrior,Eighth Edition,93,,,,,,,,,0.06
4,,Plague Beetle,Eighth Edition,154,,,,,,,,,0.05
1,,Primeval Shambler,Eighth Edition,156,,,,,,,,,0.04
1,,Puppeteer,Eighth Edition,94,,,,,,,,,0.07
2,,Rain of Blades,Eighth Edition,35,,,,,,,,,0.05
4,,Raise Dead,Eighth Edition,157,,,,,,,,,0.04
4,,Rampant Growth,Eighth Edition,274,,,,,,,,,0.05
4,,Ravenous Rats,Eighth Edition,158,,,,,,,,,0.05
4,,Razorfoot Griffin,Eighth Edition,36,,,,,,,,,0.05
4,,Redeem,Eighth Edition,37,,,,,,,,,0.05
3,,Reflexes,Eighth Edition,213,,,,,,,,,0.03
4,,Regeneration,Eighth Edition,275,,,,,,,,,0.03
4,,Remove Soul,Eighth Edition,95,,,,,,,,,0.04
2,,Ridgeline Rager,Eighth Edition,215,,,,,,,,,0.02
1,,Rod of Ruin,Eighth Edition,312,,,,,,,,,0.05
4,,Rushwood Dryad,Eighth Edition,278,,,,,,,,,0.05
4,,Sabretooth Tiger,Eighth Edition,217,,,,,,,,,0.03
4,,Sacred Nectar,Eighth Edition,40,,,,,,,,,0.05
3,,Sage Owl,Eighth Edition,98,,,,,,,,,0.04
4,,Samite Healer,Eighth Edition,41,,,,,,,,,0.01
4,,Sanctimony,Eighth Edition,42,,,,,,,,,0.07
4,,Scathe Zombies,Eighth Edition,160,,,,,,,,,0.03
4,,Sea Monster,Eighth Edition,99,,,,,,,,,0.04
3,,Seasoned Marshal,Eighth Edition,44,,,,,,,,,0.06
4,,Serpent Warrior,Eighth Edition,161,,,,,,,,,0.03
1,,Sever Soul,Eighth Edition,162,,,,,,,,,0.05
4,,Severed Legion,Eighth Edition,163,,,,,,,,,0.04
4,,Shatter,Eighth Edition,220,,,,,,,,,0.03
4,,Shock,Eighth Edition,222,,,,,,,,,0.04
1,,Shock Troops,Eighth Edition,223,,,,,,,,,0.01
4,,Sizzle,Eighth Edition,224,,,,,,,,,0.05
4,,Sneaky Homunculus,Eighth Edition,101,,,,,,,,,0.04
4,,Solidarity,Eighth Edition,46,,,,,,,,,0.04
2,,Soul Feast,Eighth Edition,165,,,,,,,,,0.06
4,,Spined Wurm,Eighth Edition,279,,,,,,,,,0.05
4,,Spineless Thug,Eighth Edition,166,,,,,,,,,0.02
1,,Spitting Spider,Eighth Edition,280,,,,,,,,,0.07
3,,Standing Troops,Eighth Edition,48,,,,,,,,,0.04
2,,Staunch Defenders,Eighth Edition,49,,,,,,,,,0.04
4,,Stone Rain,Eighth Edition,225,,,,,,,,,0.05
4,,Storm Crow,Eighth Edition,104,,,,,,,,,0.03
2,,Stream of Life,Eighth Edition,282,,,,,,,,,0.07
4,,Suntail Hawk,Eighth Edition,51,,,,,,,,,0.03
1,,Sword Dancer,Eighth Edition,53,,,,,,,,,0.04
4,,Trained Armodon,Eighth Edition,284,,,,,,,,,0.04
4,,Tremor,Eighth Edition,228,,,,,,,,,0.03
4,,Tundra Wolves,Eighth Edition,54,,,,,,,,,0.05
3,,Twiddle,Eighth Edition,111,,,,,,,,,0.04
4,,Unsummon,Eighth Edition,112,,,,,,,,,0.05
4,,Venerable Monk,Eighth Edition,55,,,,,,,,,0.02
1,,Viashino Sandstalker,Eighth Edition,230,,,,,,,,,0.06
4,,Vicious Hunger,Eighth Edition,171,,,,,,,,,0.04
3,,Vine Trellis,Eighth Edition,287,,,,,,,,,0.05
3,,Volcanic Hammer,Eighth Edition,231,,,,,,,,,0.04
1,,Wall of Air,Eighth Edition,113,,,,,,,,,0.06
1,,Wall of Stone,Eighth Edition,232,,,,,,,,,0.11
1,,Wall of Swords,Eighth Edition,56,,,,,,,,,0.05
2,,Wind Drake,Eighth Edition,114,,,,,,,,,0.02
2,,Wing Snare,Eighth Edition,288,,,,,,,,,0.05
3,,Wood Elves,Eighth Edition,289,,,,,,,,,0.05
1,,Wooden Sphere,Eighth Edition,321,,,,,,,,,0.04
4,,Zombify,Eighth Edition,174,,,,,,,,,0.19
2,,Aether Spellbomb,Mirrodin,141,,,,,,,,,0.05
4,,Alpha Myr,Mirrodin,142,,,,,,,,,0.04
3,,Altar's Light,Mirrodin,1,,,,,,,,,0.07
4,,Annul,Mirrodin,29,,,,,,,,,0.03
4,,Arrest,Mirrodin,2,,,,,,,,,0.05
4,,Assert Authority,Mirrodin,30,,,,,,,,,0.07
4,,Auriok Bladewarden,Mirrodin,3,,,,,,,,,0.05
4,,Auriok Transfixer,Mirrodin,5,,,,,,,,,0.01
4,,Awe Strike,Mirrodin,6,,,,,,,,,0.1
4,,Banshee's Blade,Mirrodin,144,,,,,,,,,0.11
4,,Battlegrowth,Mirrodin,113,,,,,,,,,0.05
4,,Blinding Beam,Mirrodin,7,,,,,,,,,0.05
2,,Bloodscent,Mirrodin,114,,,,,,,,,0.05
3,,Bottle Gnomes,Mirrodin,148,,,,,,,,,0.02
4,,Brown Ouphe,Mirrodin,115,,,,,,,,,0.02
4,,Cathodion,Mirrodin,149,,,,,,,,,0.06
4,,Chimney Imp,Mirrodin,59,,,,,,,,,0.02
4,,Clockwork Beetle,Mirrodin,153,,,,,,,,,0.04
3,,Clockwork Condor,Mirrodin,154,,,,,,,,,0.02
4,,Clockwork Vorrac,Mirrodin,156,,,,,,,,,0.04
1,,Cloudpost,Mirrodin,280,,,,,,,,,0.43
4,,Cobalt Golem,Mirrodin,157,,,,,,,,,0.03
4,,Consume Spirit,Mirrodin,60,,,,,,,,,0.05
4,,Contaminated Bond,Mirrodin,61,,,,,,,,,0.05
4,,Copper Myr,Mirrodin,158,,,,,,,,,0.04
4,,Creeping Mold,Mirrodin,117,,,,,,,,,0.03
3,,Dead-Iron Sledge,Mirrodin,162,,,,,,,,,0.05
4,,Deconstruct,Mirrodin,118,,,,,,,,,0.04
4,,Detonate,Mirrodin,88,,,,,,,,,0.06
4,,Disarm,Mirrodin,32,,,,,,,,,0.04
4,,Domineer,Mirrodin,33,,,,,,,,,0.05
4,,Dragon Blood,Mirrodin,163,,,,,,,,,0.05
4,,Dream's Grip,Mirrodin,34,,,,,,,,,0.02
4,,Dross Prowler,Mirrodin,64,,,,,,,,,0.04
4,,Dross Scorpion,Mirrodin,164,,,,,,,,,0.09
4,,Duskworker,Mirrodin,166,,,,,,,,,0.05
4,,Electrostatic Bolt,Mirrodin,89,,,,,,,,,0.05
4,,Elf Replica,Mirrodin,167,,,,,,,,,0.05
4,,Fangren Hunter,Mirrodin,119,,,,,,,,,0.02
4,,Fists of the Anvil,Mirrodin,91,,,,,,,,,0.05
4,,Forge Armor,Mirrodin,92,,,,,,,,,0.05
1,,Fractured Loyalty,Mirrodin,93,,,,,,,,,0.07
4,,Frogmite,Mirrodin,172,,,,,,,,,0.04
4,,Galvanic Key,Mirrodin,173,,,,,,,,,0.04
1,,Goblin Dirigible,Mirrodin,177,,,,,,,,,0.05
4,,Goblin Replica,Mirrodin,178,,,,,,,,,0.03
4,,Goblin Striker,Mirrodin,94,,,,,,,,,0.02
4,,Goblin War Wagon,Mirrodin,179,,,,,,,,,0.03
4,,Gold Myr,Mirrodin,180,,,,,,,,,0.05
1,,Grab the Reins,Mirrodin,95,,,,,,,,,0.1
2,,Granite Shard,Mirrodin,182,,,,,,,,,0.05
4,,Groffskithur,Mirrodin,121,,,,,,,,,0.03
1,,Heartwood Shard,Mirrodin,184,,,,,,,,,0.04
4,,Hematite Golem,Mirrodin,185,,,,,,,,,0.02
4,,Incite War,Mirrodin,96,,,,,,,,,0.04
4,,Inertia Bubble,Mirrodin,37,,,,,,,,,0.02
4,,Iron Myr,Mirrodin,187,,,,,,,,,0.05
4,,Irradiate,Mirrodin,67,,,,,,,,,0.03
4,,Journey of Discovery,Mirrodin,123,,,,,,,,,0.09
4,,Krark-Clan Grunt,Mirrodin,97,,,,,,,,,0.03
4,,Krark-Clan Shaman,Mirrodin,98,,,,,,,,,0.04
4,,Leaden Myr,Mirrodin,191,,,,,,,,,0.05
4,,Leonin Den-Guard,Mirrodin,9,,,,,,,,,0.05
4,,Leonin Elder,Mirrodin,10,,,,,,,,,0.05
4,,Leonin Scimitar,Mirrodin,193,,,,,,,,,0.05
4,,Leonin Skyhunter,Mirrodin,11,,,,,,,,,0.08
4,,Lifespark Spellbomb,Mirrodin,197,,,,,,,,,0.05
3,,Looming Hoverguard,Mirrodin,38,,,,,,,,,0.03
4,,Loxodon Mender,Mirrodin,12,,,,,,,,,0.04
1,,Lumengrid Sentinel,Mirrodin,40,,,,,,,,,0.07
4,,Lumengrid Warden,Mirrodin,41,,,,,,,,,0.03
4,,Malachite Golem,Mirrodin,202,,,,,,,,,0.04
4,,Moriok Scavenger,Mirrodin,68,,,,,,,,,0.03
1,,Mourner's Shield,Mirrodin,209,,,,,,,,,0.07
4,,Myr Adapter,Mirrodin,210,,,,,,,,,0.03
4,,Myr Enforcer,Mirrodin,211,,,,,,,,,0.09
3,,Myr Mindservant,Mirrodin,213,,,,,,,,,0.07
1,,Myr Prototype,Mirrodin,214,,,,,,,,,0.05
4,,Necrogen Spellbomb,Mirrodin,216,,,,,,,,,0.05
2,,Needlebug,Mirrodin,217,,,,,,,,,0.04
4,,Neurok Familiar,Mirrodin,43,,,,,,,,,0.05
4,,Neurok Hoversail,Mirrodin,218,,,,,,,,,0.04
5,,Neurok Spy,Mirrodin,44,,,,,,,,,0.03
2,,Nim Lasher,Mirrodin,71,,,,,,,,,0.03
4,,Nim Replica,Mirrodin,220,,,,,,,,,0.04
1,,Nim Shambler,Mirrodin,72,,,,,,,,,0.05
2,,Nim Shrieker,Mirrodin,73,,,,,,,,,0.04
4,,Nuisance Engine,Mirrodin,221,,,,,,,,,0.05
4,,Ogre Leadfoot,Mirrodin,102,,,,,,,,,0.02
4,,Omega Myr,Mirrodin,223,,,,,,,,,0.04
4,,One Dozen Eyes,Mirrodin,126,,,,,,,,,0.05
4,,Override,Mirrodin,45,,,,,,,,,0.04
4,,Pewter Golem,Mirrodin,227,,,,,,,,,0.04
3,,Predator's Strike,Mirrodin,128,,,,,,,,,0.24
4,,Psychic Membrane,Mirrodin,46,,,,,,,,,0.07
4,,Pyrite Spellbomb,Mirrodin,232,,,,,,,,,0.05
4,,Raise the Alarm,Mirrodin,16,,,,,,,,,0.03
4,,Razor Barrier,Mirrodin,17,,,,,,,,,0.02
4,,Regress,Mirrodin,48,,,,,,,,,0.05
4,,Relic Bane,Mirrodin,76,,,,,,,,,0.05
4,,Roar of the Kha,Mirrodin,18,,,,,,,,,0.05
1,,Rust Elemental,Mirrodin,234,,,,,,,,,0.08
4,,Rustmouth Ogre,Mirrodin,103,,,,,,,,,0.05
3,,Rustspore Ram,Mirrodin,235,,,,,,,,,0.05
4,,Scale of Chiss-Goria,Mirrodin,236,,,,,,,,,0.05
2,,Scrabbling Claws,Mirrodin,237,,,,,,,,,0.1
1,,Serum Tank,Mirrodin,240,,,,,,,,,0.05
4,,Shatter,Mirrodin,105,,,,,,,,,0.02
4,,Silver Myr,Mirrodin,241,,,,,,,,,0.05
2,,Skeleton Shard,Mirrodin,242,,,,,,,,,0.07
4,,Skyhunter Cub,Mirrodin,21,,,,,,,,,0.05
4,,Skyhunter Patrol,Mirrodin,22,,,,,,,,,0.04
4,,Slagwurm Armor,Mirrodin,243,,,,,,,,,0.1
4,,Slith Bloodletter,Mirrodin,77,,,,,,,,,0.05
1,,Slith Firewalker,Mirrodin,107,,,,,,,,,0.05
1,,Slith Strider,Mirrodin,50,,,,,,,,,0.05
4,,Soldier Replica,Mirrodin,244,,,,,,,,,0.03
4,,Somber Hoverguard,Mirrodin,51,,,,,,,,,0.05
1,,Soul Nova,Mirrodin,25,,,,,,,,,0.05
4,,Sphere of Purity,Mirrodin,26,,,,,,,,,0.04
4,,Spikeshot Goblin,Mirrodin,108,,,,,,,,,0.05
3,,Stalking Stones,Mirrodin,284,,,,,,,,,0.05
4,,Steel Wall,Mirrodin,248,,,,,,,,,0.09
4,,Sunbeam Spellbomb,Mirrodin,250,,,,,,,,,0.04
4,,Synod Sanctum,Mirrodin,252,,,,,,,,,0.07
4,,Taj-Nar Swordsmith,Mirrodin,27,,,,,,,,,0.07
4,,Tanglebloom,Mirrodin,258,,,,,,,,,0.04
3,,Tel-Jilad Stylus,Mirrodin,260,,,,,,,,,0.1
4,,Tempest of Light,Mirrodin,28,,,,,,,,,0.04
4,,Terror,Mirrodin,79,,,,,,,,,0.05
1,,Thought Prison,Mirrodin,261,,,,,,,,,0.04
4,,Titanium Golem,Mirrodin,263,,,,,,,,,0.04
4,,Tooth of Chiss-Goria,Mirrodin,264,,,,,,,,,0.05
2,,Trolls of Tel-Jilad,Mirrodin,136,,,,,,,,,0.05
4,,Turn to Dust,Mirrodin,137,,,,,,,,,0.04
4,,Viridian Joiner,Mirrodin,138,,,,,,,,,0.07
1,,Viridian Longbow,Mirrodin,270,,,,,,,,,0.15
4,,Viridian Shaman,Mirrodin,139,,,,,,,,,0.05
4,,Vorrac Battlehorns,Mirrodin,271,,,,,,,,,0.05
4,,Vulshok Battlegear,Mirrodin,272,,,,,,,,,0.08
4,,Vulshok Berserker,Mirrodin,111,,,,,,,,,0.04
4,,Vulshok Gauntlets,Mirrodin,273,,,,,,,,,0.04
4,,Wail of the Nim,Mirrodin,81,,,,,,,,,0.04
4,,Wanderguard Sentry,Mirrodin,56,,,,,,,,,0.02
4,,Wizard Replica,Mirrodin,275,,,,,,,,,0.04
3,,Woebearer,Mirrodin,83,,,,,,,,,0.08
4,,Wurmskin Forger,Mirrodin,140,,,,,,,,,0.01
4,,Yotian Soldier,Mirrodin,277,,,,,,,,,0.04
3,,Angel's Feather,Darksteel,92,,,,,,,,,0.07
4,,Arcane Spyglass,Darksteel,93,,,,,,,,,0.04
2,,Arcbound Bruiser,Darksteel,94,,,,,,,,,0.04
3,,Arcbound Fiend,Darksteel,96,,,,,,,,,0.07
3,,Arcbound Hybrid,Darksteel,97,,,,,,,,,0.04
1,,Arcbound Lancer,Darksteel,98,,,,,,,,,0.08
1,,Arcbound Slith,Darksteel,102,,,,,,,,,0.25
4,,Arcbound Stinger,Darksteel,103,,,,,,,,,0.05
4,,Arcbound Worker,Darksteel,104,,,,,,,,,0.05
4,,Auriok Glaivemaster,Darksteel,1,,,,,,,,,0.03
4,,Auriok Siege Sled,Darksteel,105,,,,,,,,,0.03
4,,Barbed Lightning,Darksteel,55,,,,,,,,,0.05
4,,Burden of Greed,Darksteel,38,,,,,,,,,0.03
2,,Carry Away,Darksteel,19,,,,,,,,,0.07
1,,Chimeric Egg,Darksteel,106,,,,,,,,,0.07
4,,Crazed Goblin,Darksteel,56,,,,,,,,,0.03
1,,Darksteel Brute,Darksteel,108,,,,,,,,,0.05
1,,Darksteel Gargoyle,Darksteel,111,,,,,,,,,0.07
4,,Darksteel Pendant,Darksteel,113,,,,,,,,,0.03
2,,Death-Mask Duplicant,Darksteel,115,,,,,,,,,0.06
4,,Dismantle,Darksteel,57,,,,,,,,,0.06
4,,Drill-Skimmer,Darksteel,118,,,,,,,,,0.03
4,,Drooling Ogre,Darksteel,58,,,,,,,,,0.03
1,,Dross Golem,Darksteel,119,,,,,,,,,0.05
4,,Echoing Calm,Darksteel,2,,,,,,,,,0.02
4,,Echoing Courage,Darksteel,74,,,,,,,,,0.02
2,,Echoing Decay,Darksteel,41,,,,,,,,,0.05
4,,Echoing Ruin,Darksteel,59,,,,,,,,,0.04
4,,Emissary of Despair,Darksteel,42,,,,,,,,,0.05
3,,Emissary of Hope,Darksteel,3,,,,,,,,,0.04
4,,Essence Drain,Darksteel,43,,,,,,,,,0.01
4,,Goblin Archaeologist,Darksteel,63,,,,,,,,,0.11
4,,Grimclaw Bats,Darksteel,45,,,,,,,,,0.03
3,,Hallow,Darksteel,4,,,,,,,,,0.05
1,,Hoverguard Observer,Darksteel,22,,,,,,,,,0.04
4,,Hunger of the Nim,Darksteel,46,,,,,,,,,0.03
2,,Inflame,Darksteel,64,,,,,,,,,0.02
2,,Karstoderm,Darksteel,77,,,,,,,,,0.07
4,,Krark-Clan Stoker,Darksteel,65,,,,,,,,,0.03
3,,Leonin Bola,Darksteel,127,,,,,,,,,0.05
4,,Loxodon Mystic,Darksteel,7,,,,,,,,,0.03
4,,Machinate,Darksteel,24,,,,,,,,,0.04
4,,Magnetic Flux,Darksteel,25,,,,,,,,,0.02
4,,Metal Fatigue,Darksteel,8,,,,,,,,,0.02
3,,Myr Landshaper,Darksteel,131,,,,,,,,,0.05
3,,Myr Moonvessel,Darksteel,133,,,,,,,,,0.05
4,,Neurok Prodigy,Darksteel,26,,,,,,,,,0.01
1,,Neurok Transmuter,Darksteel,27,,,,,,,,,0.07
1,,Nim Abomination,Darksteel,49,,,,,,,,,0.04
4,,Nourish,Darksteel,78,,,,,,,,,0.05
4,,Oxidda Golem,Darksteel,135,,,,,,,,,0.04
4,,Pteron Ghost,Darksteel,10,,,,,,,,,0.04
1,,Purge,Darksteel,12,,,,,,,,,0.05
4,,Quicksilver Behemoth,Darksteel,30,,,,,,,,,0.05
3,,Razor Golem,Darksteel,137,,,,,,,,,0.04
4,,Ritual of Restoration,Darksteel,13,,,,,,,,,0.04
4,,Scavenging Scarab,Darksteel,51,,,,,,,,,0.01
2,,Scrounge,Darksteel,53,,,,,,,,,0.05
1,,Specter's Shroud,Darksteel,142,,,,,,,,,0.08
2,,Tangle Golem,Darksteel,151,,,,,,,,,0.04
4,,Tangle Spider,Darksteel,85,,,,,,,,,0.05
3,,Tanglewalker,Darksteel,86,,,,,,,,,0.08
1,,Tears of Rage,Darksteel,70,,,,,,,,,0.09
4,,Tel-Jilad Outrider,Darksteel,87,,,,,,,,,0.02
4,,Tel-Jilad Wolf,Darksteel,88,,,,,,,,,0.04
2,,Thunderstaff,Darksteel,153,,,,,,,,,0.06
4,,Unforge,Darksteel,71,,,,,,,,,0.03
1,,Ur-Golem's Eye,Darksteel,155,,,,,,,,,0.05
4,,Vex,Darksteel,36,,,,,,,,,0.04
4,,Viridian Acolyte,Darksteel,89,,,,,,,,,0.02
4,,Vulshok Morningstar,Darksteel,157,,,,,,,,,0.05
1,,Vulshok War Boar,Darksteel,72,,,,,,,,,0.07
3,,Wirefly Hive,Darksteel,161,,,,,,,,,0.07
2,,Wurm's Tooth,Darksteel,162,,,,,,,,,0.05
4,,Abuna's Chant,Fifth Dawn,1,,,,,,,,,0.04
3,,Advanced Hoverguard,Fifth Dawn,22,,,,,,,,,0.02
4,,Anodet Lurker,Fifth Dawn,101,,,,,,,,,0.03
4,,Armed Response,Fifth Dawn,2,,,,,,,,,0.04
3,,Avarice Totem,Fifth Dawn,104,,,,,,,,,0.09
1,,Battered Golem,Fifth Dawn,106,,,,,,,,,0.05
4,,Blind Creeper,Fifth Dawn,42,,,,,,,,,0.04
4,,Cackling Imp,Fifth Dawn,44,,,,,,,,,0.01
2,,Chimeric Coils,Fifth Dawn,108,,,,,,,,,0.06
1,,Devour in Shadow,Fifth Dawn,46,,,,,,,,,0.08
4,,Dross Crocodile,Fifth Dawn,47,,,,,,,,,0.03
4,,Early Frost,Fifth Dawn,29,,,,,,,,,0.05
3,,Ebon Drake,Fifth Dawn,48,,,,,,,,,0.04
1,,Ensouled Scimitar,Fifth Dawn,119,,,,,,,,,0.09
1,,Etched Oracle,Fifth Dawn,121,,,,,,,,,0.04
1,,Feedback Bolt,Fifth Dawn,64,,,,,,,,,0.04
2,,Ferocious Charge,Fifth Dawn,88,,,,,,,,,0.05
4,,Fill with Fright,Fifth Dawn,50,,,,,,,,,0.03
4,,Fleshgrafter,Fifth Dawn,51,,,,,,,,,0.03
3,,Fold into Aether,Fifth Dawn,31,,,,,,,,,0.09
4,,Guardian Idol,Fifth Dawn,128,,,,,,,,,0.18
2,,Healer's Headdress,Fifth Dawn,129,,,,,,,,,0.05
3,,Heliophial,Fifth Dawn,130,,,,,,,,,0.02
2,,Infused Arrows,Fifth Dawn,133,,,,,,,,,0.06
4,,Into Thin Air,Fifth Dawn,33,,,,,,,,,0.04
1,,Iron-Barb Hellion,Fifth Dawn,69,,,,,,,,,0.05
1,,Krark-Clan Engineers,Fifth Dawn,70,,,,,,,,,0.02
4,,Krark-Clan Ogre,Fifth Dawn,71,,,,,,,,,0.03
2,,Leonin Squire,Fifth Dawn,9,,,,,,,,,0.05
4,,Lose Hope,Fifth Dawn,52,,,,,,,,,0.04
4,,Loxodon Anchorite,Fifth Dawn,10,,,,,,,,,0.05
1,,Lunar Avenger,Fifth Dawn,136,,,,,,,,,0.06
2,,Myr Quadropod,Fifth Dawn,138,,,,,,,,,0.02
2,,Opaline Bracers,Fifth Dawn,141,,,,,,,,,0.05
4,,Qumulox,Fifth Dawn,35,,,,,,,,,0.05
4,,Rain of Rust,Fifth Dawn,76,,,,,,,,,0.05
1,,Razorgrass Screen,Fifth Dawn,145,,,,,,,,,0.03
1,,Sawtooth Thresher,Fifth Dawn,149,,,,,,,,,0.02
3,,Screaming Fury,Fifth Dawn,78,,,,,,,,,0.05
2,,Shattered Dreams,Fifth Dawn,59,,,,,,,,,0.05
4,,Skullcage,Fifth Dawn,151,,,,,,,,,0.07
4,,Skyhunter Prowler,Fifth Dawn,15,,,,,,,,,0.05
4,,Skyreach Manta,Fifth Dawn,152,,,,,,,,,0.01
1,,Sparring Collar,Fifth Dawn,154,,,,,,,,,0.04
2,,Spinal Parasite,Fifth Dawn,155,,,,,,,,,0.05
1,,Stand Firm,Fifth Dawn,17,,,,,,,,,0.04
1,,Stasis Cocoon,Fifth Dawn,18,,,,,,,,,0.04
